Date,PHU_num,one_or_more_doses_cumulative
2021-08-03,2249,58854
2021-08-03,2251,776525
2021-08-03,2253,1119451
2021-08-03,2255,105308
2021-08-03,2256,55872
2021-08-03,2257,72571
2021-08-03,2258,146213
2021-08-03,2260,419033
2021-08-03,2261,137541
2021-08-03,2262,112849
2021-08-03,2263,22391
2021-08-03,2265,425305
2021-08-03,2266,220740
2021-08-03,2268,290616
2021-08-03,2270,862383
2021-08-03,3895,2179557
2021-08-03,4913,144119
2021-08-03,5183,100351
2021-08-03,9999,0
2021-08-03,35,93992327
2021-08-04,2226,83041
2021-08-04,2227,107896
2021-08-04,2230,506853
2021-08-04,2233,119038
2021-08-04,2234,73721
2021-08-04,2235,139289
2021-08-04,2236,449076
2021-08-04,2237,398664
2021-08-04,2238,116371
2021-08-04,2240,70629
2021-08-04,2241,157103
2021-08-04,2242,87710
2021-08-04,2243,136926
2021-08-04,2244,366299
2021-08-04,2246,339079
2021-08-04,2247,89918
2021-08-04,2249,58891
2021-08-04,2251,777017
2021-08-04,2253,1120571
2021-08-04,2255,105479
2021-08-04,2256,55923
2021-08-04,2257,72849
2021-08-04,2258,146499
2021-08-04,2260,419657
2021-08-04,2261,137780
2021-08-04,2262,112998
2021-08-04,2263,22408
2021-08-04,2265,425816
2021-08-04,2266,221079
2021-08-04,2268,290933
2021-08-04,2270,863052
2021-08-04,3895,2182069
2021-08-04,4913,144389
2021-08-04,5183,100395
2021-08-04,9999,0
2021-08-04,35,104491745
2021-08-05,2226,83120
2021-08-05,2227,108038
2021-08-05,2230,507474
2021-08-05,2233,119163
2021-08-05,2234,73883
2021-08-05,2235,139470
2021-08-05,2236,449478
2021-08-05,2237,399253
2021-08-05,2238,116582
2021-08-05,2240,70707
2021-08-05,2241,157298
2021-08-05,2242,87938
2021-08-05,2243,137417
2021-08-05,2244,366692
2021-08-05,2246,339436
2021-08-05,2247,90042
2021-08-05,2249,59006
2021-08-05,2251,776404
2021-08-05,2253,1121715
2021-08-05,2255,105620
2021-08-05,2256,56016
2021-08-05,2257,73078
2021-08-05,2258,147226
2021-08-05,2260,420399
2021-08-05,2261,137981
2021-08-05,2262,113133
2021-08-05,2263,22462
2021-08-05,2265,426337
2021-08-05,2266,221361
2021-08-05,2268,291382
2021-08-05,2270,863815
2021-08-05,3895,2184367
2021-08-05,4913,144600
2021-08-05,5183,100517
2021-08-05,9999,0
2021-08-05,35,115003155
2021-08-06,2226,83208
2021-08-06,2227,108181
2021-08-06,2230,508060
2021-08-06,2233,119258
2021-08-06,2234,73928
2021-08-06,2235,139600
2021-08-06,2236,449781
2021-08-06,2237,399683
2021-08-06,2238,116783
2021-08-06,2240,70913
2021-08-06,2241,157491
2021-08-06,2242,88101
2021-08-06,2243,137559
2021-08-06,2244,367011
2021-08-06,2246,339837
2021-08-06,2247,90144
2021-08-06,2249,59207
2021-08-06,2251,777178
2021-08-06,2253,1122650
2021-08-06,2255,105785
2021-08-06,2256,56092
2021-08-06,2257,73199
2021-08-06,2258,147484
2021-08-06,2260,420920
2021-08-06,2261,138144
2021-08-06,2262,113258
2021-08-06,2263,22482
2021-08-06,2265,426748
2021-08-06,2266,221824
2021-08-06,2268,291889
2021-08-06,2270,864433
2021-08-06,3895,2186730
2021-08-06,4913,144893
2021-08-06,5183,100658
2021-08-06,9999,0
2021-08-06,35,125526267
2021-08-07,2226,83370
2021-08-07,2227,108333
2021-08-07,2230,508642
2021-08-07,2233,119340
2021-08-07,2234,74074
2021-08-07,2235,139745
2021-08-07,2236,450140
2021-08-07,2237,400234
2021-08-07,2238,116933
2021-08-07,2240,70977
2021-08-07,2241,157621
2021-08-07,2242,88207
2021-08-07,2243,137716
2021-08-07,2244,367382
2021-08-07,2246,340165
2021-08-07,2247,90329
2021-08-07,2249,59292
2021-08-07,2251,778037
2021-08-07,2253,1123628
2021-08-07,2255,105906
2021-08-07,2256,56157
2021-08-07,2257,73247
2021-08-07,2258,147670
2021-08-07,2260,421507
2021-08-07,2261,138254
2021-08-07,2262,113355
2021-08-07,2263,22493
2021-08-07,2265,427183
2021-08-07,2266,222316
2021-08-07,2268,292449
2021-08-07,2270,865220
2021-08-07,3895,2189295
2021-08-07,4913,145133
2021-08-07,5183,100808
2021-08-07,9999,0
2021-08-07,35,136061425
2021-08-08,2226,83383
2021-08-08,2227,108408
2021-08-08,2230,509041
2021-08-08,2233,119393
2021-08-08,2234,74089
2021-08-08,2235,139847
2021-08-08,2236,450369
2021-08-08,2237,400625
2021-08-08,2238,116972
2021-08-08,2240,71138
2021-08-08,2241,157777
2021-08-08,2242,88227
2021-08-08,2243,137877
2021-08-08,2244,367677
2021-08-08,2246,340370
2021-08-08,2247,90358
2021-08-08,2249,59294
2021-08-08,2251,778430
2021-08-08,2253,1124888
2021-08-08,2255,105960
2021-08-08,2256,56174
2021-08-08,2257,73273
2021-08-08,2258,147770
2021-08-08,2260,421994
2021-08-08,2261,138396
2021-08-08,2262,113385
2021-08-08,2263,22499
2021-08-08,2265,427602
2021-08-08,2266,222440
2021-08-08,2268,292801
2021-08-08,2270,865917
2021-08-08,3895,2191351
2021-08-08,4913,145266
2021-08-08,5183,100895
2021-08-08,9999,0
2021-08-08,35,146605311
2021-08-09,2226,83385
2021-08-09,2227,108416
2021-08-09,2230,509364
2021-08-09,2233,119402
2021-08-09,2234,74102
2021-08-09,2235,139918
2021-08-09,2236,450611
2021-08-09,2237,400951
2021-08-09,2238,117003
2021-08-09,2240,71145
2021-08-09,2241,157848
2021-08-09,2242,88239
2021-08-09,2243,137987
2021-08-09,2244,367867
2021-08-09,2246,340554
2021-08-09,2247,90367
2021-08-09,2249,59294
2021-08-09,2251,778605
2021-08-09,2253,1125838
2021-08-09,2255,105976
2021-08-09,2256,56217
2021-08-09,2257,73278
2021-08-09,2258,147894
2021-08-09,2260,422265
2021-08-09,2261,138412
2021-08-09,2262,113393
2021-08-09,2263,22500
2021-08-09,2265,427836
2021-08-09,2266,222468
2021-08-09,2268,292993
2021-08-09,2270,866515
2021-08-09,3895,2192643
2021-08-09,4913,145301
2021-08-09,5183,100909
2021-08-09,9999,0
2021-08-09,35,157154807
2021-08-10,2226,83426
2021-08-10,2227,108534
2021-08-10,2230,509869
2021-08-10,2233,119504
2021-08-10,2234,74216
2021-08-10,2235,140122
2021-08-10,2236,450997
2021-08-10,2237,401454
2021-08-10,2238,117304
2021-08-10,2240,71149
2021-08-10,2241,157479
2021-08-10,2242,88417
2021-08-10,2243,138280
2021-08-10,2244,368254
2021-08-10,2246,340976
2021-08-10,2247,90607
2021-08-10,2249,59364
2021-08-10,2251,779286
2021-08-10,2253,1126922
2021-08-10,2255,106106
2021-08-10,2256,56265
2021-08-10,2257,73318
2021-08-10,2258,148023
2021-08-10,2260,422837
2021-08-10,2261,138456
2021-08-10,2262,113525
2021-08-10,2263,22513
2021-08-10,2265,428238
2021-08-10,2266,222697
2021-08-10,2268,293422
2021-08-10,2270,867277
2021-08-10,3895,2194571
2021-08-10,4913,145488
2021-08-10,5183,100952
2021-08-10,9999,0
2021-08-10,35,167714655
2021-08-11,2226,83567
2021-08-11,2227,105000
2021-08-11,2230,510002
2021-08-11,2233,118749
2021-08-11,2234,78078
2021-08-11,2235,140269
2021-08-11,2236,450337
2021-08-11,2237,402970
2021-08-11,2238,117510
2021-08-11,2240,70772
2021-08-11,2241,157748
2021-08-11,2242,88977
2021-08-11,2243,138418
2021-08-11,2244,369390
2021-08-11,2246,341439
2021-08-11,2247,89175
2021-08-11,2249,59406
2021-08-11,2251,780008
2021-08-11,2253,1127729
2021-08-11,2255,106084
2021-08-11,2256,56440
2021-08-11,2257,72591
2021-08-11,2258,148692
2021-08-11,2260,426184
2021-08-11,2261,138848
2021-08-11,2262,113640
2021-08-11,2263,22550
2021-08-11,2265,429126
2021-08-11,2266,223328
2021-08-11,2268,293357
2021-08-11,2270,867806
2021-08-11,3895,2196491
2021-08-11,4913,144201
2021-08-11,5183,101731
2021-08-11,9999,0
2021-08-11,35,178285268
2021-08-12,2226,83620
2021-08-12,2227,105138
2021-08-12,2230,510505
2021-08-12,2233,118855
2021-08-12,2234,78216
2021-08-12,2235,140483
2021-08-12,2236,450725
2021-08-12,2237,403475
2021-08-12,2238,117808
2021-08-12,2240,70726
2021-08-12,2241,157386
2021-08-12,2242,89075
2021-08-12,2243,138792
2021-08-12,2244,369797
2021-08-12,2246,341812
2021-08-12,2247,89383
2021-08-12,2249,59574
2021-08-12,2251,780724
2021-08-12,2253,1128790
2021-08-12,2255,106206
2021-08-12,2256,56522
2021-08-12,2257,72645
2021-08-12,2258,148849
2021-08-12,2260,426849
2021-08-12,2261,139028
2021-08-12,2262,113746
2021-08-12,2263,22605
2021-08-12,2265,429584
2021-08-12,2266,223649
2021-08-12,2268,293832
2021-08-12,2270,868558
2021-08-12,3895,2198428
2021-08-12,4913,144389
2021-08-12,5183,101893
2021-08-12,9999,0
2021-08-12,35,188866935
2021-08-13,2226,83679
2021-08-13,2227,108996
2021-08-13,2230,511353
2021-08-13,2233,119867
2021-08-13,2234,74542
2021-08-13,2235,140648
2021-08-13,2236,452171
2021-08-13,2237,402934
2021-08-13,2238,118005
2021-08-13,2240,71179
2021-08-13,2241,157230
2021-08-13,2242,88701
2021-08-13,2243,139031
2021-08-13,2244,369515
2021-08-13,2246,342097
2021-08-13,2247,91232
2021-08-13,2249,59737
2021-08-13,2251,781339
2021-08-13,2253,1130084
2021-08-13,2255,106488
2021-08-13,2256,56596
2021-08-13,2257,73579
2021-08-13,2258,148615
2021-08-13,2260,424333
2021-08-13,2261,139212
2021-08-13,2262,113932
2021-08-13,2263,22623
2021-08-13,2265,429600
2021-08-13,2266,223549
2021-08-13,2268,294791
2021-08-13,2270,869312
2021-08-13,3895,2200693
2021-08-13,4913,146131
2021-08-13,5183,101464
2021-08-13,9999,0
2021-08-13,35,199460193
2021-08-14,2226,83740
2021-08-14,2227,109124
2021-08-14,2230,511904
2021-08-14,2233,119944
2021-08-14,2234,74594
2021-08-14,2235,140827
2021-08-14,2236,452631
2021-08-14,2237,403537
2021-08-14,2238,118277
2021-08-14,2240,71216
2021-08-14,2241,157052
2021-08-14,2242,88747
2021-08-14,2243,139265
2021-08-14,2244,370044
2021-08-14,2246,342643
2021-08-14,2247,91483
2021-08-14,2249,59810
2021-08-14,2251,782215
2021-08-14,2253,1131218
2021-08-14,2255,106555
2021-08-14,2256,56654
2021-08-14,2257,73648
2021-08-14,2258,148772
2021-08-14,2260,424844
2021-08-14,2261,139470
2021-08-14,2262,114021
2021-08-14,2263,22640
2021-08-14,2265,430195
2021-08-14,2266,223838
2021-08-14,2268,295141
2021-08-14,2270,870142
2021-08-14,3895,2202994
2021-08-14,4913,146408
2021-08-14,5183,101575
2021-08-14,9999,0
2021-08-14,35,210065361
2021-08-15,2226,83821
2021-08-15,2227,109214
2021-08-15,2230,512346
2021-08-15,2233,120015
2021-08-15,2234,74612
2021-08-15,2235,140944
2021-08-15,2236,452942
2021-08-15,2237,403972
2021-08-15,2238,118329
2021-08-15,2240,71324
2021-08-15,2241,157144
2021-08-15,2242,88784
2021-08-15,2243,139373
2021-08-15,2244,370375
2021-08-15,2246,343010
2021-08-15,2247,91504
2021-08-15,2249,59814
2021-08-15,2251,782785
2021-08-15,2253,1132397
2021-08-15,2255,106625
2021-08-15,2256,56671
2021-08-15,2257,73677
2021-08-15,2258,149033
2021-08-15,2260,425312
2021-08-15,2261,139554
2021-08-15,2262,114047
2021-08-15,2263,22643
2021-08-15,2265,430624
2021-08-15,2266,223925
2021-08-15,2268,295507
2021-08-15,2270,871061
2021-08-15,3895,2205190
2021-08-15,4913,146460
2021-08-15,5183,101687
2021-08-15,9999,0
2021-08-15,35,220680082
2021-08-16,2226,83826
2021-08-16,2227,109239
2021-08-16,2230,512706
2021-08-16,2233,120042
2021-08-16,2234,74626
2021-08-16,2235,140980
2021-08-16,2236,453225
2021-08-16,2237,404285
2021-08-16,2238,118341
2021-08-16,2240,71331
2021-08-16,2241,157227
2021-08-16,2242,88793
2021-08-16,2243,139435
2021-08-16,2244,370535
2021-08-16,2246,343176
2021-08-16,2247,91514
2021-08-16,2249,59817
2021-08-16,2251,783174
2021-08-16,2253,1133429
2021-08-16,2255,106633
2021-08-16,2256,56715
2021-08-16,2257,73688
2021-08-16,2258,149060
2021-08-16,2260,425572
2021-08-16,2261,139603
2021-08-16,2262,114058
2021-08-16,2263,22643
2021-08-16,2265,430809
2021-08-16,2266,223996
2021-08-16,2268,295702
2021-08-16,2270,871664
2021-08-16,3895,2206618
2021-08-16,4913,146487
2021-08-16,5183,101694
2021-08-16,9999,0
2021-08-16,35,231300725
2021-08-17,2226,83875
2021-08-17,2227,109343
2021-08-17,2230,513249
2021-08-17,2233,120147
2021-08-17,2234,74750
2021-08-17,2235,141098
2021-08-17,2236,453691
2021-08-17,2237,404871
2021-08-17,2238,118511
2021-08-17,2240,71357
2021-08-17,2241,157319
2021-08-17,2242,88834
2021-08-17,2243,139537
2021-08-17,2244,370955
2021-08-17,2246,343530
2021-08-17,2247,91848
2021-08-17,2249,59860
2021-08-17,2251,783940
2021-08-17,2253,1134610
2021-08-17,2255,106773
2021-08-17,2256,56784
2021-08-17,2257,73743
2021-08-17,2258,149290
2021-08-17,2260,425957
2021-08-17,2261,139667
2021-08-17,2262,114148
2021-08-17,2263,22654
2021-08-17,2265,431262
2021-08-17,2266,224241
2021-08-17,2268,296183
2021-08-17,2270,872500
2021-08-17,3895,2208878
2021-08-17,4913,146662
2021-08-17,5183,101749
2021-08-17,9999,0
2021-08-17,35,241932541
2021-08-18,2226,84032
2021-08-18,2227,109499
2021-08-18,2230,513879
2021-08-18,2233,120336
2021-08-18,2234,74906
2021-08-18,2235,141277
2021-08-18,2236,454048
2021-08-18,2237,405453
2021-08-18,2238,118763
2021-08-18,2240,71477
2021-08-18,2241,157096
2021-08-18,2242,89040
2021-08-18,2243,139721
2021-08-18,2244,371393
2021-08-18,2246,343883
2021-08-18,2247,92304
2021-08-18,2249,59942
2021-08-18,2251,784736
2021-08-18,2253,1135665
2021-08-18,2255,107006
2021-08-18,2256,56839
2021-08-18,2257,73798
2021-08-18,2258,149520
2021-08-18,2260,426351
2021-08-18,2261,139969
2021-08-18,2262,114257
2021-08-18,2263,22706
2021-08-18,2265,431715
2021-08-18,2266,224533
2021-08-18,2268,296690
2021-08-18,2270,873330
2021-08-18,3895,2211382
2021-08-18,4913,146871
2021-08-18,5183,101841
2021-08-18,9999,0
2021-08-18,35,252576799
2021-08-19,2226,84160
2021-08-19,2227,109646
2021-08-19,2230,514651
2021-08-19,2233,120485
2021-08-19,2234,75103
2021-08-19,2235,141549
2021-08-19,2236,454755
2021-08-19,2237,406212
2021-08-19,2238,118943
2021-08-19,2240,71580
2021-08-19,2241,157303
2021-08-19,2242,89167
2021-08-19,2243,139844
2021-08-19,2244,372051
2021-08-19,2246,344386
2021-08-19,2247,92567
2021-08-19,2249,60068
2021-08-19,2251,786094
2021-08-19,2253,1137094
2021-08-19,2255,107290
2021-08-19,2256,57004
2021-08-19,2257,73870
2021-08-19,2258,149792
2021-08-19,2260,427119
2021-08-19,2261,140243
2021-08-19,2262,114396
2021-08-19,2263,22725
2021-08-19,2265,432411
2021-08-19,2266,224868
2021-08-19,2268,297442
2021-08-19,2270,874689
2021-08-19,3895,2214242
2021-08-19,4913,147096
2021-08-19,5183,101967
2021-08-19,9999,0
2021-08-19,35,263237611
2021-08-20,2226,84275
2021-08-20,2227,109836
2021-08-20,2230,515657
2021-08-20,2233,120669
2021-08-20,2234,75223
2021-08-20,2235,141744
2021-08-20,2236,455347
2021-08-20,2237,406938
2021-08-20,2238,119258
2021-08-20,2240,71761
2021-08-20,2241,157389
2021-08-20,2242,89226
2021-08-20,2243,140191
2021-08-20,2244,372576
2021-08-20,2246,344987
2021-08-20,2247,92717
2021-08-20,2249,60138
2021-08-20,2251,787315
2021-08-20,2253,1138597
2021-08-20,2255,107492
2021-08-20,2256,57184
2021-08-20,2257,74163
2021-08-20,2258,150111
2021-08-20,2260,427936
2021-08-20,2261,140495
2021-08-20,2262,114566
2021-08-20,2263,22757
2021-08-20,2265,433023
2021-08-20,2266,225229
2021-08-20,2268,298004
2021-08-20,2270,875831
2021-08-20,3895,2217070
2021-08-20,4913,147321
2021-08-20,5183,102103
2021-08-20,9999,0
2021-08-20,35,273914740
